cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae_D_5__Methyloparacoccus;D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__Lentimicrobiaceae_D_5__wastewater metagenome	SPC;DO;pH;NH3;Temp	0.00018960949479359334
2	D_0__Bacteria_D_1__Actinobacteria_D_2__Actinobacteria_D_3__Corynebacteriales_D_4__Mycobacteriaceae_D_5__Mycobacterium	TN;SPC;DO;pH;NH3;Temp	0.00030910798382369735
3	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Cryomorphaceae_D_5__NS10 marine group	SPC;DO;pH	0.00030910798382369735
4	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Rickettsiales_D_4__Rickettsiaceae_D_5__Candidatus Megaira;D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Neisseriaceae_D_5__uncultured	PHYC;CDOM;INV;YSI-PC;YSI-Chl;NTU;fDOM	0.0006718916111479279
5	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__NS11-12 marine group_D_5__uncultured Bacteroidetes bacterium	TN;SPC;DO;pH;NH3;Temp	0.0008080465241594941
6	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter	PO4	0.0008080465241594941
7	D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__Chthoniobacterales_D_4__Chthoniobacteraceae_D_5__Chthoniobacter	SPC;DO;pH;NH3;Temp	0.0013954224488229063
8	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__Lentimicrobiaceae_D_5__wastewater metagenome	fDOM	0.0019801319529174034
9	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Caulobacterales_D_4__Hyphomonadaceae_D_5__UKL13-1	ECCFU;ECMPN;TN;SPC;DO;pH;NH3;Temp	0.002337481331934219
10	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Neisseriaceae_D_5__uncultured	SPC;DO;pH;NH3;Temp	0.0023723184454093075
11	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Flavobacteriaceae_D_5__Flavobacterium	PHYC	0.0026677070381251663
12	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae_D_5__Methyloparacoccus	PHYC;CDOM;INV;YSI-PC;YSI-Chl;NTU;fDOM	0.00286190080362217
13	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Flavobacteriaceae_D_5__Flavobacterium;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Cytophagales_D_4__Cytophagaceae_D_5__Cytophaga	TN	0.003151928433644756
14	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Xanthomonadales_D_4__Xanthomonadaceae_D_5__Silanimonas;D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylomonaceae_D_5__uncultured	SPC;DO;pH;NH3;Temp	0.003535887546175319
15	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea	ECCFU	0.005192721973292737
16	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Xanthomonadales_D_4__Xanthomonadaceae_D_5__Silanimonas	PHYC	0.009361080835933797
17	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__NS11-12 marine group_D_5__uncultured Bacteroidetes bacterium	fDOM	0.009944313765457886
18	D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Nostocaceae_D_5__Dolichospermum NIES41;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Cytophagales_D_4__Microscillaceae_D_5__uncultured	NH3	0.011930218037112814
19	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter	NH3	0.011983339418533813
20	D_0__Bacteria_D_1__Actinobacteria_D_2__Actinobacteria_D_3__Corynebacteriales_D_4__Mycobacteriaceae_D_5__Mycobacterium	TIC	0.013076521388113207
21	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea	TIC	0.013200261361970987
22	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Cellvibrionales_D_4__Cellvibrionaceae_D_5__uncultured	NTU	0.01421505037514728
23	D_0__Bacteria_D_1__Actinobacteria_D_2__Actinobacteria_D_3__Corynebacteriales_D_4__Mycobacteriaceae_D_5__Mycobacterium	PO4	0.01421505037514728
24	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Cytophagales_D_4__Cytophagaceae_D_5__Cytophaga	NH3	0.014528453743290837
25	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Xanthomonadales_D_4__Xanthomonadaceae_D_5__Silanimonas	ECCFU	0.014743259872467314
26	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea	PHYC	0.015338104570283067
27	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Rickettsiales_D_4__Rickettsiaceae_D_5__Candidatus Megaira	Temp	0.015716946054913087
28	D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__uncultured_D_4__uncultured bacterium_D_5__	ECCFU	0.017672568621176072
29	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Caulobacterales_D_4__Hyphomonadaceae_D_5__UKL13-1	PO4	0.02108941257490156
30	D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Nostocaceae_D_5__Dolichospermum NIES41;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Cytophagales_D_4__Microscillaceae_D_5__uncultured	PHYC	0.022380268580990823
31	D_0__Bacteria_D_1__Chloroflexi_D_2__Chloroflexia_D_3__Chloroflexales_D_4__Roseiflexaceae_D_5__uncultured;D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Cellvibrionales_D_4__Cellvibrionaceae_D_5__uncultured	CDOM;INV	0.024498436946386468
32	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__env.OPS 17_D_5__uncultured bacterium	Temp	0.02536046257406332
33	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Sphaerotilus	TIC	0.02541734747908718
34	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__Lentimicrobiaceae_D_5__wastewater metagenome	YSI-PC	0.02596904038657528
35	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Crocinitomicaceae_D_5__Fluviicola	ECCFU	0.027228246163816236
36	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Cellvibrionales_D_4__Cellvibrionaceae_D_5__uncultured	YSI-PC	0.02778062385961419
37	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea	PO4	0.02778062385961419
38	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Rhizobiales_D_4__Beijerinckiaceae_D_5__Methylocystis	NO3	0.028070177740351063
39	D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Nostocaceae_D_5__Sphaerospermopsis BCCUSP55	SPC;DO;pH;NH3;Temp	0.028070177740351063
40	D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__Chthoniobacterales_D_4__Terrimicrobiaceae_D_5__FukuN18 freshwater group	PO4	0.03029132585930272
41	D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307;D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Caulobacterales_D_4__Caulobacteraceae_D_5__Phenylobacterium	fDOM	0.030671094396138944
42	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Caulobacterales_D_4__Caulobacteraceae_D_5__Phenylobacterium	NTU	0.0329618698207261
43	D_0__Bacteria_D_1__Acidobacteria_D_2__Subgroup 6_D_3__uncultured bacterium_D_4___D_5__	Temp	0.0329618698207261
44	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter	fDOM	0.03725863487269359
45	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__NS11-12 marine group___	ECCFU	0.0374236660664237
46	D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__Chthoniobacterales_D_4__Terrimicrobiaceae_D_5__FukuN18 freshwater group	SPC	0.038410273027041676
47	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Flavobacteriaceae_D_5__Flavobacterium	Temp	0.04113287628356911
48	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter	TIC	0.04344460229462194
49	D_0__Bacteria_D_1__Bacteroidetes_D_2__Ignavibacteria_D_3__OPB56_D_4__uncultured bacterium_D_5__	PHYC	0.044745881538133976
50	D_0__Bacteria_D_1__Acidobacteria_D_2__Subgroup 6_D_3__uncultured bacterium_D_4___D_5__	CDOM	0.045046440402159535
51	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Cryomorphaceae_D_5__NS10 marine group	Temp	0.04644366677388354
52	D_0__Bacteria_D_1__Acidobacteria_D_2__Holophagae_D_3__Holophagales_D_4__Holophagaceae_D_5__Geothrix	fDOM	0.04899671178902866
